BUS_LIC_NO,REMARKS,InspectionType,INSPECTOR,SCHEDULED_DATE,SCHEDULED_TIME,COMPLETED_DATE,COMPLETED_TIME,DURATION,RESULT,NOTES,LOCKID,RECORDID,DURATION_EST,CREATED_DATE,CREATED_TIME,CREATED_BY,SEQID,CAPOVERRIDE,update_originator_id,update_timestamp,create_timestamp,exID,PathURL,PathURLDateAdded,insert_originator_id
2327,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608105,,,,,,,,000000000026CA67,,,,,
3325,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081050,,,,,,,,000000000026CA68,,,,,
3322,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081053,,,,,,,,000000000026CA6B,,,,,
3328,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081054,,,,,,,,000000000026CA6C,,,,,
3329,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081055,,,,,,,,000000000026CA6D,,,,,
3330,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081056,,,,,,,,000000000026CA6E,,,,,
3331,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081057,,,,,,,,000000000026CA6F,,,,,
3332,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081058,,,,,,,,000000000026CA70,,,,,
3333,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081059,,,,,,,,000000000026CA71,,,,,
1816,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608106,,,,,,,,000000000026CA72,,,,,
3334,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081060,,,,,,,,000000000026CA73,,,,,
3335,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081061,,,,,,,,000000000026CA74,,,,,
3336,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081062,,,,,,,,000000000026CA75,,,,,
3337,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081063,,,,,,,,000000000026CA76,,,,,
3338,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081064,,,,,,,,000000000026CA77,,,,,
3341,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081066,,,,,,,,000000000026CA79,,,,,
3342,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081067,,,,,,,,000000000026CA7A,,,,,
3343,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081068,,,,,,,,000000000026CA7B,,,,,
3344,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081069,,,,,,,,000000000026CA7C,,,,,
1564,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608107,,,,,,,,000000000026CA7D,,,,,
3345,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081070,,,,,,,,000000000026CA7E,,,,,
3347,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081071,,,,,,,,000000000026CA7F,,,,,
3348,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081072,,,,,,,,000000000026CA80,,,,,
3339,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081073,,,,,,,,000000000026CA81,,,,,
3346,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081074,,,,,,,,000000000026CA82,,,,,
3349,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081075,,,,,,,,000000000026CA83,,,,,
3350,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081076,,,,,,,,000000000026CA84,,,,,
3351,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081077,,,,,,,,000000000026CA85,,,,,
3352,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081078,,,,,,,,000000000026CA86,,,,,
3353,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081079,,,,,,,,000000000026CA87,,,,,
2809,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608108,,,,,,,,000000000026CA88,,,,,
3354,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081080,,,,,,,,000000000026CA89,,,,,
3355,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081081,,,,,,,,000000000026CA8A,,,,,
3356,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081082,,,,,,,,000000000026CA8B,,,,,
3357,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081083,,,,,,,,000000000026CA8C,,,,,
3358,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081084,,,,,,,,000000000026CA8D,,,,,
3359,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081085,,,,,,,,000000000026CA8E,,,,,
3361,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081086,,,,,,,,000000000026CA8F,,,,,
3362,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081087,,,,,,,,000000000026CA90,,,,,
3363,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081088,,,,,,,,000000000026CA91,,,,,
3364,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081089,,,,,,,,000000000026CA92,,,,,
2262,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608109,,,,,,,,000000000026CA93,,,,,
3365,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081090,,,,,,,,000000000026CA94,,,,,
3366,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081091,,,,,,,,000000000026CA95,,,,,
3367,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081092,,,,,,,,000000000026CA96,,,,,
3368,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081093,,,,,,,,000000000026CA97,,,,,
3369,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081094,,,,,,,,000000000026CA98,,,,,
3370,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081095,,,,,,,,000000000026CA99,,,,,
3371,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081096,,,,,,,,000000000026CA9A,,,,,
3372,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081097,,,,,,,,000000000026CA9B,,,,,
3373,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081098,,,,,,,,000000000026CA9C,,,,,
2112,,FIRE LIFESAFETY,,,,,,,,,,YOLO:11020114360811,,,,,,,,000000000026CA9E,,,,,
9773,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608110,,,,,,,,000000000026CA9F,,,,,
3375,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081100,,,,,,,,000000000026CAA0,,,,,
3376,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081101,,,,,,,,000000000026CAA1,,,,,
